asv	phylum	class	order	family	genus	species
ASV1585	p__Ascomycota	c__Dothideomycetes	o__Mycosphaerellales	f__Teratosphaeriaceae	g__Oleoguttula	s__Oleoguttula_mirabilis
ASV3640	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Mollisiaceae	g__Mollisia	s__Mollisia_caricina
ASV2921	p__Basidiomycota	c__Agaricomycetes	o__Thelephorales	f__Thelephoraceae	g__unclassified_f__Thelephoraceae	s__unclassified_f__Thelephoraceae
ASV54	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Sporormiaceae	g__Sporormiaceae_gen_Incertae_sedis	s__Sporormiaceae_sp
ASV8036	p__Ascomycota	c__Sordariomycetes	o__Myrmecridiales	f__Myrmecridiaceae	g__Myrmecridium	s__Myrmecridium_hiemale
ASV91	p__Ascomycota	c__Sordariomycetes	o__Magnaporthales	f__Magnaporthaceae	g__Arxiella	s__Arxiella_terrestris
ASV1999	p__Basidiomycota	c__Tremellomycetes	o__Cystofilobasidiales	f__Mrakiaceae	g__Tausonia	s__Tausonia_pullulans
ASV2014	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Lasiosphaeriaceae	g__Cercophora	s__Cercophora_mirabilis
ASV4389	p__unclassified_k__Fungi	c__unclassified_k__Fungi	o__unclassified_k__Fungi	f__unclassified_k__Fungi	g__unclassified_k__Fungi	s__unclassified_k__Fungi
ASV689	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Mollisiaceae	g__Phialocephala	s__unclassified_g__Phialocephala
ASV8221	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Inocybaceae	g__Inocybe	s__Inocybe_egenula
ASV697	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Linnemannia	s__Linnemannia_gamsii
ASV1307	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__Rhinocladiella	s__Rhinocladiella_sp
ASV1352	p__unclassified_k__Fungi	c__unclassified_k__Fungi	o__unclassified_k__Fungi	f__unclassified_k__Fungi	g__unclassified_k__Fungi	s__unclassified_k__Fungi
ASV504	p__Fungi_phy_Incertae_sedis	c__Fungi_cls_Incertae_sedis	o__Fungi_ord_Incertae_sedis	f__Fungi_fam_Incertae_sedis	g__Fungi_gen_Incertae_sedis	s__Fungi_sp
ASV41	p__Ascomycota	c__Dothideomycetes	o__Mycosphaerellales	f__Teratosphaeriaceae	g__Capnocheirides	s__Capnocheirides_sp
ASV3934	p__Basidiomycota	c__Agaricomycetes	o__Polyporales	f__Hyphodermataceae	g__Hyphodermataceae_gen_Incertae_sedis	s__Hyphodermataceae_sp
ASV68	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Trichomeriaceae	g__Knufia	s__Knufia_peltigerae
ASV3236	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Tympanidaceae	g__unclassified_f__Tympanidaceae	s__unclassified_f__Tympanidaceae
ASV2922	p__unclassified_k__Fungi	c__unclassified_k__Fungi	o__unclassified_k__Fungi	f__unclassified_k__Fungi	g__unclassified_k__Fungi	s__unclassified_k__Fungi
ASV661	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiales_fam_Incertae_sedis	g__Humicolopsis	s__Humicolopsis_cephalosporioides
ASV1230	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Cryptococcaceae	g__Teunia	s__Teunia_cuniculi
ASV1551	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiales_fam_Incertae_sedis	g__Mycoarthris	s__Mycoarthris_corallina
ASV1065	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Sporormiaceae	g__Sporormiella	s__Sporormiella_intermedia
ASV3391	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Melanommataceae	g__Alpinaria	s__Alpinaria_rhododendri
ASV5581	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Dermateaceae	g__Trichosporiella	s__Trichosporiella_cerebriformis
ASV6782	p__Basidiomycota	c__Agaricomycetes	o__Russulales	f__Russulaceae	g__Russula	s__unclassified_g__Russula
ASV1600	p__unclassified_k__Fungi	c__unclassified_k__Fungi	o__unclassified_k__Fungi	f__unclassified_k__Fungi	g__unclassified_k__Fungi	s__unclassified_k__Fungi
ASV7639	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__unclassified_o__Helotiales	g__unclassified_o__Helotiales	s__unclassified_o__Helotiales
ASV7640	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__unclassified_o__Helotiales	g__unclassified_o__Helotiales	s__unclassified_o__Helotiales
ASV752	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Trichomeriaceae	g__Knufia	s__Knufia_tsunedae
ASV2586	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	f__Cladosporiaceae	g__Rachicladosporium	s__unclassified_g__Rachicladosporium
ASV4050	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiales_fam_Incertae_sedis	g__Leohumicola	s__Leohumicola_minima
ASV63	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Trichomeriaceae	g__Knufia	s__Knufia_peltigerae
ASV36	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	f__Cladosporiaceae	g__Cladosporium	s__unclassified_g__Cladosporium
ASV134	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	s__Mortierella_alpina
ASV312	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Sporormiaceae	g__Sporormiaceae_gen_Incertae_sedis	s__Sporormiaceae_sp
ASV4201	p__Basidiomycota	c__Agaricomycetes	o__Thelephorales	f__Thelephoraceae	g__unclassified_f__Thelephoraceae	s__unclassified_f__Thelephoraceae
ASV8037	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__unclassified_o__Helotiales	g__unclassified_o__Helotiales	s__unclassified_o__Helotiales
ASV224	p__Basidiomycota	c__Tremellomycetes	o__Filobasidiales	f__Filobasidiaceae	g__Naganishia	s__unclassified_g__Naganishia
ASV2080	p__Ascomycota	c__Sordariomycetes	o__unclassified_c__Sordariomycetes	f__unclassified_c__Sordariomycetes	g__unclassified_c__Sordariomycetes	s__unclassified_c__Sordariomycetes
ASV14	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiales_fam_Incertae_sedis	g__Gloeosporium	s__Gloeosporium_sp
ASV1581	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Discinellaceae	g__Gyoerffyella	s__Gyoerffyella_entomobryoides
ASV6914	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__Cladophialophora	s__Cladophialophora_chaetospira
ASV3642	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Clavariaceae	g__Ramariopsis	s__Ramariopsis_crocea
ASV5723	p__Basidiomycota	c__Microbotryomycetes	o__Microbotryomycetes_ord_Incertae_sedis	f__Chrysozymaceae	g__Slooffia	s__Slooffia_cresolica
ASV3248	p__Ascomycota	c__Sordariomycetes	o__Coniochaetales	f__Coniochaetaceae	g__Coniochaeta	s__unclassified_g__Coniochaeta
ASV875	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Linnemannia	s__Linnemannia_sp
ASV27	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Phaeosphaeriaceae	g__Paraphoma	s__Paraphoma_rhaphiolepidis
ASV3045	p__Basidiomycota	c__Agaricomycetes	o__Sebacinales	f__Serendipitaceae	g__Serendipita	s__Serendipita_sp
ASV469	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Amniculicolaceae	g__Murispora	s__Murispora_sp
ASV5557	p__Basidiomycota	c__Agaricomycetes	o__Sebacinales	f__Sebacinaceae	g__Sebacinaceae_gen_Incertae_sedis	s__Sebacinaceae_sp
ASV1580	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Discinellaceae	g__Gyoerffyella	s__unclassified_g__Gyoerffyella
ASV1304	p__Ascomycota	c__Sordariomycetes	o__Coniochaetales	f__Coniochaetaceae	g__Coniochaeta	s__Coniochaeta_discospora
ASV4053	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__Cladophialophora	s__Cladophialophora_chaetospira
ASV52	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiaceae	g__Tetracladium_f__Helotiaceae	s__Tetracladium_furcatum_g__Tetracladium_f__Helotiaceae
ASV5777	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__unclassified_f__Herpotrichiellaceae	s__unclassified_f__Herpotrichiellaceae
ASV8038	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	f__Cladosporiaceae	g__Rachicladosporium	s__unclassified_g__Rachicladosporium
ASV3858	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	f__Cladosporiaceae	g__Rachicladosporium	s__unclassified_g__Rachicladosporium
ASV5558	p__Basidiomycota	c__Agaricomycetes	o__Auriculariales	f__Auriculariales_fam_Incertae_sedis	g__Oliveonia	s__Oliveonia_pauxilla
ASV1552	p__Ascomycota	c__Dothideomycetes	o__Venturiales	f__Venturiaceae	g__unclassified_f__Venturiaceae	s__unclassified_f__Venturiaceae
ASV86	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Sporormiaceae	g__unclassified_f__Sporormiaceae	s__unclassified_f__Sporormiaceae
ASV2923	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Hypocreaceae	g__Hypocreaceae_gen_Incertae_sedis	s__Hypocreaceae_sp
ASV285	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Trichomeriaceae	g__Knufia	s__Knufia_peltigerae
ASV1614	p__Basidiomycota	c__Agaricomycetes	o__Sebacinales	f__Sebacinaceae	g__Sebacina	s__Sebacina_sp
ASV2513	p__Ascomycota	c__Lecanoromycetes	o__Ostropales	f__Stictidaceae	g__Karstenia	s__Karstenia_sp
ASV1564	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	f__Cladosporiaceae	g__Rachicladosporium	s__Rachicladosporium_monterosium
ASV939	p__Ascomycota	c__Archaeorhizomycetes	o__Archaeorhizomycetales	f__Archaeorhizomycetaceae	g__Archaeorhizomyces	s__Archaeorhizomyces_sp
ASV5032	p__Basidiomycota	c__Agaricomycetes	o__Thelephorales	f__Thelephoraceae	g__Thelephoraceae_gen_Incertae_sedis	s__Thelephoraceae_sp
ASV120	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Linnemannia	s__unclassified_g__Linnemannia
ASV6915	p__Ascomycota	c__Lecanoromycetes	o__Lecanorales	f__Ramalinaceae	g__Bacidia	s__Bacidia_sp
ASV874	p__Basidiomycota	c__Agaricomycetes	o__Thelephorales	f__Thelephoraceae	g__Polyozellus	s__Polyozellus_badjelanndanus
ASV222	p__Ascomycota	c__unclassified_p__Ascomycota	o__unclassified_p__Ascomycota	f__unclassified_p__Ascomycota	g__unclassified_p__Ascomycota	s__unclassified_p__Ascomycota
ASV6319	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__Rhinocladiella	s__Rhinocladiella_sp
ASV2484	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Neonectria	s__Neonectria_major
ASV328	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Calloriaceae	g__Polyphilus	s__Polyphilus_sieberi
ASV2924	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Clavariaceae	g__unclassified_f__Clavariaceae	s__unclassified_f__Clavariaceae
ASV3324	p__Basidiomycota	c__Agaricomycetes	o__Russulales	f__Russulaceae	g__Russula	s__unclassified_g__Russula
ASV1553	p__Ascomycota	c__Dothideomycetes	o__unclassified_c__Dothideomycetes	f__unclassified_c__Dothideomycetes	g__unclassified_c__Dothideomycetes	s__unclassified_c__Dothideomycetes
ASV1737	p__Olpidiomycota	c__Olpidiomycetes	o__Olpidiales	f__Olpidiaceae	g__Olpidiaceae_gen_Incertae_sedis	s__Olpidiaceae_sp
ASV3388	p__Basidiomycota	c__Agaricomycetes	o__Thelephorales	f__Thelephoraceae	g__Thelephora	s__Thelephora_anthocephala
ASV37	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Bulleraceae	g__Genolevuria	s__Genolevuria_tibetensis
ASV16	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	s__Mortierella_antarctica
ASV5033	p__Ascomycota	c__Pezizomycotina_cls_Incertae_sedis	o__Pezizomycotina_ord_Incertae_sedis	f__Pezizomycotina_fam_Incertae_sedis	g__Tricellula	s__Tricellula_curvata
ASV4041	p__Basidiomycota	c__Agaricomycetes	o__Sebacinales	f__Sebacinaceae	g__Sebacinaceae_gen_Incertae_sedis	s__Sebacinaceae_sp
ASV2925	p__Basidiomycota	c__Agaricomycetes	o__Sebacinales	f__Sebacinaceae	g__Sebacina	s__unclassified_g__Sebacina
ASV1243	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__unclassified_o__Helotiales	g__unclassified_o__Helotiales	s__unclassified_o__Helotiales
ASV1649	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Calloriaceae	g__Polyphilus	s__Polyphilus_sieberi
ASV2074	p__Ascomycota	c__unclassified_p__Ascomycota	o__unclassified_p__Ascomycota	f__unclassified_p__Ascomycota	g__unclassified_p__Ascomycota	s__unclassified_p__Ascomycota
ASV678	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Trimorphomycetaceae	g__Saitozyma	s__Saitozyma_podzolica
ASV3247	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__unclassified_f__Herpotrichiellaceae	s__unclassified_f__Herpotrichiellaceae
ASV7641	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__unclassified_o__Helotiales	g__unclassified_o__Helotiales	s__unclassified_o__Helotiales
ASV8222	p__Basidiomycota	c__Agaricomycetes	o__GS29	f__GS29_fam_Incertae_sedis	g__GS29_gen_Incertae_sedis	s__GS29_sp
ASV6631	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__unclassified_o__Helotiales	g__unclassified_o__Helotiales	s__unclassified_o__Helotiales
ASV6916	p__Ascomycota	c__Archaeorhizomycetes	o__Archaeorhizomycetales	f__Archaeorhizomycetaceae	g__Archaeorhizomyces	s__Archaeorhizomyces_sp
ASV6318	p__Fungi_phy_Incertae_sedis	c__Fungi_cls_Incertae_sedis	o__Fungi_ord_Incertae_sedis	f__Fungi_fam_Incertae_sedis	g__Fungi_gen_Incertae_sedis	s__Fungi_sp
ASV6632	p__unclassified_k__Fungi	c__unclassified_k__Fungi	o__unclassified_k__Fungi	f__unclassified_k__Fungi	g__unclassified_k__Fungi	s__unclassified_k__Fungi
ASV2090	p__Ascomycota	c__Pezizomycotina_cls_Incertae_sedis	o__Pezizomycotina_ord_Incertae_sedis	f__Pezizomycotina_fam_Incertae_sedis	g__Kostermansinda	s__Kostermansinda_minima
ASV2926	p__Fungi_phy_Incertae_sedis	c__Fungi_cls_Incertae_sedis	o__Fungi_ord_Incertae_sedis	f__Fungi_fam_Incertae_sedis	g__Fungi_gen_Incertae_sedis	s__Fungi_sp
ASV1256	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__Cladophialophora	s__Cladophialophora_chaetospira
ASV2340	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Hygrophoraceae	g__Gliophorus	s__Gliophorus_psittacinus
ASV730	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiaceae	g__Hymenoscyphus	s__Hymenoscyphus_herbarum
ASV3277	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Didymosphaeriaceae	g__Laburnicola	s__Laburnicola_hawksworthii
ASV1713	p__Basidiomycota	c__Agaricomycetes	o__Sebacinales	f__Sebacinaceae	g__Sebacina	s__Sebacina_epigaea
ASV5782	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Hygrophoraceae	g__Hygrocybe	s__Hygrocybe_conica
ASV681	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	s__Mortierella_elongata
ASV1687	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__unclassified_o__Chaetothyriales	g__unclassified_o__Chaetothyriales	s__unclassified_o__Chaetothyriales
ASV1407	p__Ascomycota	c__Eurotiomycetes	o__Verrucariales	f__Verrucariales_fam_Incertae_sedis	g__Verrucariales_gen_Incertae_sedis	s__Verrucariales_sp
ASV2927	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Clavariaceae	g__Ramariopsis	s__Ramariopsis_sp
ASV2771	p__Ascomycota	c__Dothideomycetes	o__Botryosphaeriales	f__Botryosphaeriales_fam_Incertae_sedis	g__Botryosphaeriales_gen_Incertae_sedis	s__Botryosphaeriales_sp
ASV2466	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Cortinariaceae	g__Cortinarius	s__Cortinarius_ammophiloides
ASV5604	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__unclassified_f__Herpotrichiellaceae	s__unclassified_f__Herpotrichiellaceae
ASV315	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Leptosphaeriaceae	g__Leptosphaeriaceae_gen_Incertae_sedis	s__Leptosphaeriaceae_sp
ASV4042	p__Basidiomycota	c__Agaricomycetes	o__Sebacinales	f__Serendipitaceae	g__Serendipita	s__Serendipita_sp
ASV4929	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__Cladophialophora	s__Cladophialophora_chaetospira
ASV662	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__unclassified_o__Helotiales	g__unclassified_o__Helotiales	s__unclassified_o__Helotiales
ASV1226	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__Cladophialophora	s__Cladophialophora_sp
ASV2016	p__unclassified_k__Fungi	c__unclassified_k__Fungi	o__unclassified_k__Fungi	f__unclassified_k__Fungi	g__unclassified_k__Fungi	s__unclassified_k__Fungi
ASV4803	p__Ascomycota	c__Lecanoromycetes	o__Caliciales	f__unclassified_o__Caliciales	g__unclassified_o__Caliciales	s__unclassified_o__Caliciales
ASV1771	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Trichomeriaceae	g__Knufia	s__Knufia_peltigerae
ASV3389	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__unclassified_o__Helotiales	g__unclassified_o__Helotiales	s__unclassified_o__Helotiales
ASV2341	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Hyaloscyphaceae	g__Lachnum	s__unclassified_g__Lachnum
ASV1225	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Pleosporaceae	g__Pyrenophora	s__unclassified_g__Pyrenophora
ASV648	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__Cladophialophora	s__Cladophialophora_chaetospira
ASV17	p__Ascomycota	c__Archaeorhizomycetes	o__Archaeorhizomycetales	f__Archaeorhizomycetaceae	g__Archaeorhizomyces	s__Archaeorhizomyces_sp
ASV8039	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiaceae	g__Tetracladium_f__Helotiaceae	s__Tetracladium_ellipsoideum_g__Tetracladium_f__Helotiaceae
ASV2345	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Melanommataceae	g__Petrakia	s__Petrakia_sp
ASV2018	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__Cladophialophora	s__Cladophialophora_chaetospira
ASV647	p__Basidiomycota	c__Agaricomycetes	o__Russulales	f__Russulaceae	g__Russula	s__Russula_atroglauca
ASV1144	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Sordariaceae	g__unclassified_f__Sordariaceae	s__unclassified_f__Sordariaceae
ASV3643	p__unclassified_k__Fungi	c__unclassified_k__Fungi	o__unclassified_k__Fungi	f__unclassified_k__Fungi	g__unclassified_k__Fungi	s__unclassified_k__Fungi
ASV1925	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Phaeosphaeriaceae	g__Phaeosphaeriaceae_gen_Incertae_sedis	s__Phaeosphaeriaceae_sp
ASV1583	p__Ascomycota	c__Leotiomycetes	o__Thelebolales	f__Thelebolaceae	g__Antarctomyces	s__Antarctomyces_pellizariae
ASV101	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Sporormiaceae	g__Sporormiaceae_gen_Incertae_sedis	s__Sporormiaceae_sp
ASV657	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__Cladophialophora	s__Cladophialophora_chaetospira
ASV3336	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Inocybaceae	g__Inocybe	s__unclassified_g__Inocybe
ASV650	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Hypocreaceae	g__Trichoderma	s__Trichoderma_oblongisporum
ASV5034	p__Ascomycota	c__Sordariomycetes	o__Xylariales	f__Bartaliniaceae	g__Truncatella	s__unclassified_g__Truncatella
ASV7642	p__Fungi_phy_Incertae_sedis	c__Fungi_cls_Incertae_sedis	o__Fungi_ord_Incertae_sedis	f__Fungi_fam_Incertae_sedis	g__Fungi_gen_Incertae_sedis	s__Fungi_sp
ASV396	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Tricladiaceae	g__Spirosphaera	s__Spirosphaera_sp
ASV2017	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Leptosphaeriaceae	g__unclassified_f__Leptosphaeriaceae	s__unclassified_f__Leptosphaeriaceae
ASV5035	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiales_fam_Incertae_sedis	g__Leptodophora	s__Leptodophora_orchidicola
ASV4391	p__Ascomycota	c__Sordariomycetes	o__Xylariales	f__Bartaliniaceae	g__Truncatella	s__unclassified_g__Truncatella
ASV680	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Trichomeriaceae	g__Knufia	s__Knufia_peltigerae
ASV1280	p__Fungi_phy_Incertae_sedis	c__Fungi_cls_Incertae_sedis	o__Fungi_ord_Incertae_sedis	f__Fungi_fam_Incertae_sedis	g__Fungi_gen_Incertae_sedis	s__Fungi_sp
ASV3657	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__unclassified_f__Herpotrichiellaceae	s__unclassified_f__Herpotrichiellaceae
ASV6955	p__unclassified_k__Fungi	c__unclassified_k__Fungi	o__unclassified_k__Fungi	f__unclassified_k__Fungi	g__unclassified_k__Fungi	s__unclassified_k__Fungi
ASV71	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Pleosporaceae	g__Comoclathris	s__Comoclathris_sedi
ASV161	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Cyphellophoraceae	g__Cyphellophoraceae_gen_Incertae_sedis	s__Cyphellophoraceae_sp
ASV1555	p__unclassified_k__Fungi	c__unclassified_k__Fungi	o__unclassified_k__Fungi	f__unclassified_k__Fungi	g__unclassified_k__Fungi	s__unclassified_k__Fungi
ASV3700	p__Ascomycota	c__Pezizomycotina_cls_Incertae_sedis	o__Pezizomycotina_ord_Incertae_sedis	f__Pezizomycotina_fam_Incertae_sedis	g__Kostermansinda	s__Kostermansinda_minima
ASV7643	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__unclassified_o__Helotiales	g__unclassified_o__Helotiales	s__unclassified_o__Helotiales
ASV4202	p__Basidiomycota	c__Agaricomycetes	o__unclassified_c__Agaricomycetes	f__unclassified_c__Agaricomycetes	g__unclassified_c__Agaricomycetes	s__unclassified_c__Agaricomycetes
ASV1676	p__Ascomycota	c__Leotiomycetes	o__unclassified_c__Leotiomycetes	f__unclassified_c__Leotiomycetes	g__unclassified_c__Leotiomycetes	s__unclassified_c__Leotiomycetes
ASV3145	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiaceae	g__unclassified_f__Helotiaceae	s__unclassified_f__Helotiaceae
ASV2809	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Linnemannia	s__unclassified_g__Linnemannia
ASV405	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Clavicipitaceae	g__Metapochonia	s__Metapochonia_suchlasporia
ASV124	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Sporormiaceae	g__Sporormiella	s__Sporormiella_similis
ASV3635	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	s__Mortierella_macrocystis
ASV1261	p__Ascomycota	c__unclassified_p__Ascomycota	o__unclassified_p__Ascomycota	f__unclassified_p__Ascomycota	g__unclassified_p__Ascomycota	s__unclassified_p__Ascomycota
ASV652	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__Cladophialophora	s__Cladophialophora_sp
ASV6633	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiales_fam_Incertae_sedis	g__Helotiales_gen_Incertae_sedis	s__Helotiales_sp
ASV2062	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Trichomeriaceae	g__Knufia	s__Knufia_peltigerae
ASV2039	p__Ascomycota	c__Leotiomycetes	o__unclassified_c__Leotiomycetes	f__unclassified_c__Leotiomycetes	g__unclassified_c__Leotiomycetes	s__unclassified_c__Leotiomycetes
ASV5036	p__Basidiomycota	c__Agaricomycetes	o__Boletales	f__Astraeaceae	g__Astraeus	s__Astraeus_koreanus
ASV5037	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Dactylonectria	s__Dactylonectria_estremocensis
ASV33	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	f__Cladosporiaceae	g__Cladosporium	s__unclassified_g__Cladosporium
ASV6320	p__Ascomycota	c__Eurotiomycetes	o__Verrucariales	f__Verrucariaceae	g__Endocarpon	s__unclassified_g__Endocarpon
ASV2480	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	f__Paradevriesiaceae	g__Paradevriesia	s__Paradevriesia_pseudoamericana
ASV1728	p__Basidiomycota	c__Tremellomycetes	o__Filobasidiales	f__Filobasidiaceae	g__Naganishia	s__Naganishia_antarctica
ASV4390	p__Ascomycota	c__Sordariomycetes	o__Coniochaetales	f__Coniochaetales_fam_Incertae_sedis	g__Coniochaetales_gen_Incertae_sedis	s__Coniochaetales_sp
ASV8223	p__unclassified_k__Fungi	c__unclassified_k__Fungi	o__unclassified_k__Fungi	f__unclassified_k__Fungi	g__unclassified_k__Fungi	s__unclassified_k__Fungi
ASV920	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Porotheleaceae	g__Porotheleum	s__Porotheleum_sp
ASV1556	p__Ascomycota	c__Dothideomycetes	o__Venturiales	f__Venturiaceae	g__Coleroa	s__Coleroa_circinans
ASV5559	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Trichomeriaceae	g__Bradymyces	s__Bradymyces_alpinus
ASV1557	p__Ascomycota	c__Dothideomycetes	o__Venturiales	f__Venturiaceae	g__unclassified_f__Venturiaceae	s__unclassified_f__Venturiaceae
ASV2998	p__Ascomycota	c__Sordariomycetes	o__Coniochaetales	f__Coniochaetaceae	g__Coniochaeta	s__Coniochaeta_sp
